Test Case,Algorithm,Execution Time,std
r 10000 1.9100,M,1,1.9100
r 10000 1.9100,Q,0,1.9100
r 10000 1.9100,R,0,1.9100
r 10000 1.9200,H,1,1.9200
r 10000 1.9200,M,0,1.9200
r 10000 1.9200,Q,0,1.9200
r 10000 1.9200,R,0,1.9200
r 10000 1.9300,H,0,1.9300
r 10000 1.9300,M,0,1.9300
r 10000 1.9300,Q,0,1.9300
r 10000 1.9300,R,0,1.9300
r 10000 1.9400,H,0,1.9400
r 10000 1.9400,M,1,1.9400
r 10000 1.9400,Q,0,1.9400
r 10000 1.9400,R,0,1.9400
r 10000 1.9500,H,1,1.9500
r 10000 1.9500,M,0,1.9500
r 10000 1.9500,Q,0,1.9500
r 10000 1.9500,R,0,1.9500
r 10000 1.9600,H,1,1.9600
r 10000 1.9600,M,0,1.9600
r 10000 1.9600,Q,0,1.9600
r 10000 1.9600,R,0,1.9600
r 10000 1.9700,H,0,1.9700
r 10000 1.9700,M,1,1.9700
r 10000 1.9700,Q,0,1.9700
r 10000 1.9700,R,0,1.9700
r 10000 1.9800,H,0,1.9800
r 10000 1.9800,M,0,1.9800
r 10000 1.9800,Q,1,1.9800
r 10000 1.9800,R,0,1.9800
r 10000 1.9900,H,1,1.9900
r 10000 1.9900,M,0,1.9900
r 10000 1.9900,Q,0,1.9900
r 10000 1.9900,R,0,1.9900
