Test Case,Algorithm,Execution Time,std
r 10000 1.1953,M,1,1.1953
r 10000 1.1953,Q,0,1.1953
r 10000 1.1953,R,0,1.1953
r 10000 1.1954,H,1,1.1954
r 10000 1.1954,M,0,1.1954
r 10000 1.1954,Q,0,1.1954
r 10000 1.1954,R,0,1.1954
r 10000 1.1955,H,0,1.1955
r 10000 1.1955,M,1,1.1955
r 10000 1.1955,Q,0,1.1955
r 10000 1.1955,R,0,1.1955
r 10000 1.1956,H,1,1.1956
r 10000 1.1956,M,0,1.1956
r 10000 1.1956,Q,0,1.1956
r 10000 1.1956,R,0,1.1956
r 10000 1.1957,H,0,1.1957
r 10000 1.1957,M,0,1.1957
r 10000 1.1957,Q,1,1.1957
r 10000 1.1957,R,0,1.1957
r 10000 1.1958,H,1,1.1958
r 10000 1.1958,M,0,1.1958
r 10000 1.1958,Q,0,1.1958
r 10000 1.1958,R,0,1.1958
r 10000 1.1959,H,0,1.1959
r 10000 1.1959,M,0,1.1959
r 10000 1.1959,Q,0,1.1959
r 10000 1.1959,R,1,1.1959
r 10000 1.1960,H,0,1.1960
r 10000 1.1960,M,1,1.1960
r 10000 1.1960,Q,0,1.1960
r 10000 1.1960,R,0,1.1960
r 10000 1.1961,H,1,1.1961
r 10000 1.1961,M,0,1.1961
r 10000 1.1961,Q,0,1.1961
r 10000 1.1961,R,0,1.1961
r 10000 1.1962,H,0,1.1962
r 10000 1.1962,M,1,1.1962
r 10000 1.1962,Q,0,1.1962
r 10000 1.1962,R,0,1.1962
r 10000 1.1963,H,1,1.1963
r 10000 1.1963,M,0,1.1963
r 10000 1.1963,Q,0,1.1963
r 10000 1.1963,R,0,1.1963
r 10000 1.1964,H,0,1.1964
r 10000 1.1964,M,0,1.1964
r 10000 1.1964,Q,1,1.1964
r 10000 1.1964,R,0,1.1964
r 10000 1.1965,H,1,1.1965
r 10000 1.1965,M,0,1.1965
r 10000 1.1965,Q,0,1.1965
r 10000 1.1965,R,0,1.1965
r 10000 1.1966,H,0,1.1966
r 10000 1.1966,M,0,1.1966
r 10000 1.1966,Q,0,1.1966
r 10000 1.1966,R,1,1.1966
r 10000 1.1967,H,1,1.1967
r 10000 1.1967,M,0,1.1967
r 10000 1.1967,Q,0,1.1967
r 10000 1.1967,R,0,1.1967
r 10000 1.1968,H,0,1.1968
r 10000 1.1968,M,0,1.1968
r 10000 1.1968,Q,0,1.1968
r 10000 1.1968,R,1,1.1968
r 10000 1.1969,H,1,1.1969
r 10000 1.1969,M,0,1.1969
r 10000 1.1969,Q,0,1.1969
r 10000 1.1969,R,0,1.1969
r 10000 1.1970,H,1,1.1970
r 10000 1.1970,M,0,1.1970
r 10000 1.1970,Q,0,1.1970
r 10000 1.1970,R,0,1.1970
r 10000 1.1971,H,0,1.1971
r 10000 1.1971,M,1,1.1971
r 10000 1.1971,Q,0,1.1971
r 10000 1.1971,R,0,1.1971
r 10000 1.1972,H,1,1.1972
r 10000 1.1972,M,0,1.1972
r 10000 1.1972,Q,0,1.1972
r 10000 1.1972,R,0,1.1972
r 10000 1.1973,H,0,1.1973
r 10000 1.1973,M,0,1.1973
r 10000 1.1973,Q,0,1.1973
r 10000 1.1973,R,0,1.1973
r 10000 1.1974,H,1,1.1974
r 10000 1.1974,M,0,1.1974
r 10000 1.1974,Q,0,1.1974
r 10000 1.1974,R,0,1.1974
r 10000 1.1975,H,0,1.1975
r 10000 1.1975,M,0,1.1975
r 10000 1.1975,Q,0,1.1975
r 10000 1.1975,R,0,1.1975
r 10000 1.1976,H,0,1.1976
r 10000 1.1976,M,1,1.1976
r 10000 1.1976,Q,0,1.1976
r 10000 1.1976,R,0,1.1976
r 10000 1.1977,H,1,1.1977
r 10000 1.1977,M,0,1.1977
r 10000 1.1977,Q,0,1.1977
r 10000 1.1977,R,0,1.1977
r 10000 1.1978,H,0,1.1978
r 10000 1.1978,M,1,1.1978
r 10000 1.1978,Q,0,1.1978
r 10000 1.1978,R,0,1.1978
r 10000 1.1979,H,1,1.1979
r 10000 1.1979,M,0,1.1979
r 10000 1.1979,Q,0,1.1979
r 10000 1.1979,R,0,1.1979
r 10000 1.1980,H,0,1.1980
r 10000 1.1980,M,1,1.1980
r 10000 1.1980,Q,0,1.1980
r 10000 1.1980,R,0,1.1980
r 10000 1.1981,H,1,1.1981
r 10000 1.1981,M,0,1.1981
r 10000 1.1981,Q,0,1.1981
r 10000 1.1981,R,0,1.1981
r 10000 1.1982,H,0,1.1982
r 10000 1.1982,M,0,1.1982
r 10000 1.1982,Q,0,1.1982
r 10000 1.1982,R,1,1.1982
r 10000 1.1983,H,1,1.1983
r 10000 1.1983,M,0,1.1983
r 10000 1.1983,Q,0,1.1983
r 10000 1.1983,R,0,1.1983
r 10000 1.1984,H,1,1.1984
r 10000 1.1984,M,0,1.1984
r 10000 1.1984,Q,0,1.1984
r 10000 1.1984,R,0,1.1984
r 10000 1.1985,H,0,1.1985
r 10000 1.1985,M,1,1.1985
r 10000 1.1985,Q,0,1.1985
r 10000 1.1985,R,0,1.1985
r 10000 1.1986,H,1,1.1986
r 10000 1.1986,M,0,1.1986
r 10000 1.1986,Q,0,1.1986
r 10000 1.1986,R,0,1.1986
r 10000 1.1987,H,0,1.1987
r 10000 1.1987,M,1,1.1987
r 10000 1.1987,Q,0,1.1987
r 10000 1.1987,R,0,1.1987
r 10000 1.1988,H,1,1.1988
r 10000 1.1988,M,0,1.1988
r 10000 1.1988,Q,0,1.1988
r 10000 1.1988,R,0,1.1988
r 10000 1.1989,H,0,1.1989
r 10000 1.1989,M,0,1.1989
r 10000 1.1989,Q,0,1.1989
r 10000 1.1989,R,1,1.1989
r 10000 1.1990,H,1,1.1990
r 10000 1.1990,M,0,1.1990
r 10000 1.1990,Q,0,1.1990
r 10000 1.1990,R,0,1.1990
r 10000 1.1991,H,1,1.1991
r 10000 1.1991,M,0,1.1991
r 10000 1.1991,Q,0,1.1991
r 10000 1.1991,R,0,1.1991
r 10000 1.1992,H,0,1.1992
r 10000 1.1992,M,1,1.1992
r 10000 1.1992,Q,0,1.1992
r 10000 1.1992,R,0,1.1992
r 10000 1.1993,H,1,1.1993
r 10000 1.1993,M,0,1.1993
r 10000 1.1993,Q,0,1.1993
r 10000 1.1993,R,0,1.1993
r 10000 1.1994,H,0,1.1994
r 10000 1.1994,M,1,1.1994
r 10000 1.1994,Q,0,1.1994
r 10000 1.1994,R,0,1.1994
r 10000 1.1995,H,1,1.1995
r 10000 1.1995,M,0,1.1995
r 10000 1.1995,Q,0,1.1995
r 10000 1.1995,R,0,1.1995
r 10000 1.1996,H,0,1.1996
r 10000 1.1996,M,1,1.1996
r 10000 1.1996,Q,0,1.1996
r 10000 1.1996,R,0,1.1996
r 10000 1.1997,H,1,1.1997
r 10000 1.1997,M,0,1.1997
r 10000 1.1997,Q,0,1.1997
r 10000 1.1997,R,0,1.1997
r 10000 1.1998,H,0,1.1998
r 10000 1.1998,M,1,1.1998
r 10000 1.1998,Q,0,1.1998
r 10000 1.1998,R,0,1.1998
r 10000 1.1999,H,1,1.1999
r 10000 1.1999,M,0,1.1999
r 10000 1.1999,Q,0,1.1999
r 10000 1.1999,R,0,1.1999
r 10000 1.2000,H,0,1.2000
r 10000 1.2000,M,0,1.2000
r 10000 1.2000,Q,0,1.2000
r 10000 1.2000,R,1,1.2000
r 10000 1.2001,H,1,1.2001
r 10000 1.2001,M,0,1.2001
r 10000 1.2001,Q,0,1.2001
r 10000 1.2001,R,0,1.2001
r 10000 1.2002,H,0,1.2002
r 10000 1.2002,M,0,1.2002
r 10000 1.2002,Q,0,1.2002
r 10000 1.2002,R,0,1.2002
r 10000 1.2003,H,1,1.2003
r 10000 1.2003,M,0,1.2003
r 10000 1.2003,Q,0,1.2003
r 10000 1.2003,R,0,1.2003
r 10000 1.2004,H,0,1.2004
r 10000 1.2004,M,1,1.2004
r 10000 1.2004,Q,0,1.2004
r 10000 1.2004,R,0,1.2004
r 10000 1.2005,H,1,1.2005
r 10000 1.2005,M,0,1.2005
r 10000 1.2005,Q,0,1.2005
r 10000 1.2005,R,0,1.2005
r 10000 1.2006,H,0,1.2006
r 10000 1.2006,M,0,1.2006
r 10000 1.2006,Q,1,1.2006
r 10000 1.2006,R,0,1.2006
r 10000 1.2007,H,1,1.2007
r 10000 1.2007,M,0,1.2007
r 10000 1.2007,Q,0,1.2007
r 10000 1.2007,R,0,1.2007
r 10000 1.2008,H,0,1.2008
r 10000 1.2008,M,0,1.2008
r 10000 1.2008,Q,0,1.2008
r 10000 1.2008,R,0,1.2008
r 10000 1.2009,H,0,1.2009
r 10000 1.2009,M,0,1.2009
r 10000 1.2009,Q,0,1.2009
r 10000 1.2009,R,0,1.2009
r 10000 1.2010,H,0,1.2010
r 10000 1.2010,M,1,1.2010
r 10000 1.2010,Q,0,1.2010
r 10000 1.2010,R,0,1.2010
r 10000 1.2011,H,1,1.2011
r 10000 1.2011,M,0,1.2011
r 10000 1.2011,Q,0,1.2011
r 10000 1.2011,R,0,1.2011
r 10000 1.2012,H,1,1.2012
r 10000 1.2012,M,0,1.2012
r 10000 1.2012,Q,0,1.2012
r 10000 1.2012,R,0,1.2012
r 10000 1.2013,H,0,1.2013
r 10000 1.2013,M,1,1.2013
r 10000 1.2013,Q,0,1.2013
r 10000 1.2013,R,0,1.2013
r 10000 1.2014,H,1,1.2014
r 10000 1.2014,M,0,1.2014
r 10000 1.2014,Q,0,1.2014
r 10000 1.2014,R,0,1.2014
r 10000 1.2015,H,0,1.2015
r 10000 1.2015,M,0,1.2015
r 10000 1.2015,Q,0,1.2015
r 10000 1.2015,R,0,1.2015
r 10000 1.2016,H,1,1.2016
r 10000 1.2016,M,0,1.2016
r 10000 1.2016,Q,0,1.2016
r 10000 1.2016,R,0,1.2016
r 10000 1.2017,H,0,1.2017
r 10000 1.2017,M,0,1.2017
r 10000 1.2017,Q,1,1.2017
r 10000 1.2017,R,0,1.2017
r 10000 1.2018,H,1,1.2018
r 10000 1.2018,M,0,1.2018
r 10000 1.2018,Q,0,1.2018
r 10000 1.2018,R,0,1.2018
r 10000 1.2019,H,0,1.2019
r 10000 1.2019,M,0,1.2019
r 10000 1.2019,Q,0,1.2019
r 10000 1.2019,R,1,1.2019
r 10000 1.2020,H,1,1.2020
r 10000 1.2020,M,0,1.2020
r 10000 1.2020,Q,0,1.2020
r 10000 1.2020,R,0,1.2020
r 10000 1.2021,H,0,1.2021
r 10000 1.2021,M,1,1.2021
r 10000 1.2021,Q,0,1.2021
r 10000 1.2021,R,0,1.2021
r 10000 1.2022,H,1,1.2022
r 10000 1.2022,M,0,1.2022
r 10000 1.2022,Q,0,1.2022
r 10000 1.2022,R,0,1.2022
r 10000 1.2023,H,0,1.2023
r 10000 1.2023,M,1,1.2023
r 10000 1.2023,Q,0,1.2023
r 10000 1.2023,R,0,1.2023
r 10000 1.2024,H,1,1.2024
r 10000 1.2024,M,0,1.2024
r 10000 1.2024,Q,0,1.2024
r 10000 1.2024,R,0,1.2024
r 10000 1.2025,H,0,1.2025
r 10000 1.2025,M,1,1.2025
r 10000 1.2025,Q,0,1.2025
r 10000 1.2025,R,0,1.2025
r 10000 1.2026,H,1,1.2026
r 10000 1.2026,M,0,1.2026
r 10000 1.2026,Q,0,1.2026
r 10000 1.2026,R,0,1.2026
r 10000 1.2027,H,0,1.2027
r 10000 1.2027,M,0,1.2027
r 10000 1.2027,Q,1,1.2027
r 10000 1.2027,R,0,1.2027
r 10000 1.2028,H,1,1.2028
r 10000 1.2028,M,0,1.2028
r 10000 1.2028,Q,0,1.2028
r 10000 1.2028,R,0,1.2028
r 10000 1.2029,H,0,1.2029
r 10000 1.2029,M,0,1.2029
r 10000 1.2029,Q,1,1.2029
r 10000 1.2029,R,0,1.2029
r 10000 1.2030,H,1,1.2030
r 10000 1.2030,M,0,1.2030
r 10000 1.2030,Q,0,1.2030
r 10000 1.2030,R,0,1.2030
r 10000 1.2031,H,0,1.2031
r 10000 1.2031,M,1,1.2031
r 10000 1.2031,Q,0,1.2031
r 10000 1.2031,R,0,1.2031
r 10000 1.2032,H,1,1.2032
r 10000 1.2032,M,0,1.2032
r 10000 1.2032,Q,0,1.2032
r 10000 1.2032,R,0,1.2032
r 10000 1.2033,H,0,1.2033
r 10000 1.2033,M,1,1.2033
r 10000 1.2033,Q,0,1.2033
r 10000 1.2033,R,0,1.2033
r 10000 1.2034,H,1,1.2034
r 10000 1.2034,M,1,1.2034
r 10000 1.2034,Q,0,1.2034
r 10000 1.2034,R,0,1.2034
r 10000 1.2035,H,1,1.2035
r 10000 1.2035,M,0,1.2035
r 10000 1.2035,Q,0,1.2035
r 10000 1.2035,R,0,1.2035
r 10000 1.2036,H,0,1.2036
r 10000 1.2036,M,1,1.2036
r 10000 1.2036,Q,0,1.2036
r 10000 1.2036,R,0,1.2036
r 10000 1.2037,H,1,1.2037
r 10000 1.2037,M,0,1.2037
r 10000 1.2037,Q,0,1.2037
r 10000 1.2037,R,0,1.2037
r 10000 1.2038,H,0,1.2038
r 10000 1.2038,M,1,1.2038
r 10000 1.2038,Q,0,1.2038
r 10000 1.2038,R,0,1.2038
r 10000 1.2039,H,1,1.2039
r 10000 1.2039,M,0,1.2039
r 10000 1.2039,Q,0,1.2039
r 10000 1.2039,R,0,1.2039
r 10000 1.2040,H,0,1.2040
r 10000 1.2040,M,1,1.2040
r 10000 1.2040,Q,0,1.2040
r 10000 1.2040,R,0,1.2040
r 10000 1.2041,H,1,1.2041
r 10000 1.2041,M,0,1.2041
r 10000 1.2041,Q,0,1.2041
r 10000 1.2041,R,0,1.2041
r 10000 1.2042,H,0,1.2042
r 10000 1.2042,M,1,1.2042
r 10000 1.2042,Q,0,1.2042
r 10000 1.2042,R,0,1.2042
r 10000 1.2043,H,1,1.2043
r 10000 1.2043,M,0,1.2043
r 10000 1.2043,Q,0,1.2043
r 10000 1.2043,R,0,1.2043
r 10000 1.2044,H,0,1.2044
r 10000 1.2044,M,0,1.2044
r 10000 1.2044,Q,0,1.2044
r 10000 1.2044,R,0,1.2044
r 10000 1.2045,H,1,1.2045
r 10000 1.2045,M,0,1.2045
r 10000 1.2045,Q,0,1.2045
r 10000 1.2045,R,0,1.2045
r 10000 1.2046,H,0,1.2046
r 10000 1.2046,M,0,1.2046
r 10000 1.2046,Q,0,1.2046
r 10000 1.2046,R,0,1.2046
r 10000 1.2047,H,1,1.2047
r 10000 1.2047,M,0,1.2047
r 10000 1.2047,Q,0,1.2047
r 10000 1.2047,R,0,1.2047
r 10000 1.2048,H,0,1.2048
r 10000 1.2048,M,1,1.2048
r 10000 1.2048,Q,0,1.2048
r 10000 1.2048,R,0,1.2048
r 10000 1.2049,H,1,1.2049
r 10000 1.2049,M,0,1.2049
r 10000 1.2049,Q,0,1.2049
r 10000 1.2049,R,0,1.2049
r 10000 1.2050,H,0,1.2050
r 10000 1.2050,M,1,1.2050
r 10000 1.2050,Q,0,1.2050
r 10000 1.2050,R,0,1.2050
r 10000 1.2051,H,1,1.2051
r 10000 1.2051,M,0,1.2051
r 10000 1.2051,Q,0,1.2051
r 10000 1.2051,R,0,1.2051
r 10000 1.2052,H,0,1.2052
r 10000 1.2052,M,1,1.2052
r 10000 1.2052,Q,0,1.2052
r 10000 1.2052,R,0,1.2052
r 10000 1.2053,H,1,1.2053
r 10000 1.2053,M,0,1.2053
r 10000 1.2053,Q,0,1.2053
r 10000 1.2053,R,0,1.2053
r 10000 1.2054,H,0,1.2054
r 10000 1.2054,M,1,1.2054
r 10000 1.2054,Q,0,1.2054
r 10000 1.2054,R,0,1.2054
r 10000 1.2055,H,1,1.2055
r 10000 1.2055,M,0,1.2055
r 10000 1.2055,Q,0,1.2055
r 10000 1.2055,R,0,1.2055
r 10000 1.2056,H,0,1.2056
r 10000 1.2056,M,1,1.2056
r 10000 1.2056,Q,0,1.2056
r 10000 1.2056,R,0,1.2056
r 10000 1.2057,H,1,1.2057
r 10000 1.2057,M,0,1.2057
r 10000 1.2057,Q,0,1.2057
r 10000 1.2057,R,0,1.2057
r 10000 1.2058,H,0,1.2058
r 10000 1.2058,M,0,1.2058
r 10000 1.2058,Q,1,1.2058
r 10000 1.2058,R,0,1.2058
r 10000 1.2059,H,1,1.2059
r 10000 1.2059,M,0,1.2059
r 10000 1.2059,Q,0,1.2059
r 10000 1.2059,R,0,1.2059
r 10000 1.2060,H,0,1.2060
r 10000 1.2060,M,0,1.2060
r 10000 1.2060,Q,0,1.2060
r 10000 1.2060,R,0,1.2060
r 10000 1.2061,H,0,1.2061
r 10000 1.2061,M,1,1.2061
r 10000 1.2061,Q,0,1.2061
r 10000 1.2061,R,0,1.2061
r 10000 1.2062,H,1,1.2062
r 10000 1.2062,M,0,1.2062
r 10000 1.2062,Q,0,1.2062
r 10000 1.2062,R,0,1.2062
r 10000 1.2063,H,0,1.2063
r 10000 1.2063,M,1,1.2063
r 10000 1.2063,Q,0,1.2063
r 10000 1.2063,R,0,1.2063
r 10000 1.2064,H,1,1.2064
r 10000 1.2064,M,0,1.2064
r 10000 1.2064,Q,0,1.2064
r 10000 1.2064,R,0,1.2064
r 10000 1.2065,H,0,1.2065
r 10000 1.2065,M,1,1.2065
r 10000 1.2065,Q,0,1.2065
r 10000 1.2065,R,0,1.2065
r 10000 1.2066,H,1,1.2066
r 10000 1.2066,M,0,1.2066
r 10000 1.2066,Q,0,1.2066
r 10000 1.2066,R,0,1.2066
r 10000 1.2067,H,0,1.2067
r 10000 1.2067,M,1,1.2067
r 10000 1.2067,Q,0,1.2067
r 10000 1.2067,R,0,1.2067
r 10000 1.2068,H,1,1.2068
r 10000 1.2068,M,0,1.2068
r 10000 1.2068,Q,0,1.2068
r 10000 1.2068,R,0,1.2068
r 10000 1.2069,H,0,1.2069
r 10000 1.2069,M,1,1.2069
r 10000 1.2069,Q,0,1.2069
r 10000 1.2069,R,0,1.2069
r 10000 1.2070,H,1,1.2070
r 10000 1.2070,M,0,1.2070
r 10000 1.2070,Q,0,1.2070
r 10000 1.2070,R,0,1.2070
r 10000 1.2071,H,0,1.2071
r 10000 1.2071,M,0,1.2071
r 10000 1.2071,Q,0,1.2071
r 10000 1.2071,R,1,1.2071
r 10000 1.2072,H,0,1.2072
r 10000 1.2072,M,1,1.2072
r 10000 1.2072,Q,0,1.2072
r 10000 1.2072,R,0,1.2072
r 10000 1.2073,H,1,1.2073
r 10000 1.2073,M,0,1.2073
r 10000 1.2073,Q,0,1.2073
r 10000 1.2073,R,0,1.2073
r 10000 1.2074,H,0,1.2074
r 10000 1.2074,M,0,1.2074
r 10000 1.2074,Q,0,1.2074
r 10000 1.2074,R,0,1.2074
r 10000 1.2075,H,1,1.2075
r 10000 1.2075,M,0,1.2075
r 10000 1.2075,Q,0,1.2075
r 10000 1.2075,R,0,1.2075
r 10000 1.2076,H,0,1.2076
r 10000 1.2076,M,1,1.2076
r 10000 1.2076,Q,0,1.2076
r 10000 1.2076,R,0,1.2076
r 10000 1.2077,H,1,1.2077
r 10000 1.2077,M,0,1.2077
r 10000 1.2077,Q,0,1.2077
r 10000 1.2077,R,0,1.2077
r 10000 1.2078,H,0,1.2078
r 10000 1.2078,M,1,1.2078
r 10000 1.2078,Q,0,1.2078
r 10000 1.2078,R,0,1.2078
r 10000 1.2079,H,1,1.2079
r 10000 1.2079,M,0,1.2079
r 10000 1.2079,Q,0,1.2079
r 10000 1.2079,R,0,1.2079
r 10000 1.2080,H,0,1.2080
r 10000 1.2080,M,0,1.2080
r 10000 1.2080,Q,0,1.2080
r 10000 1.2080,R,0,1.2080
r 10000 1.2081,H,0,1.2081
r 10000 1.2081,M,1,1.2081
r 10000 1.2081,Q,0,1.2081
r 10000 1.2081,R,0,1.2081
r 10000 1.2082,H,1,1.2082
r 10000 1.2082,M,0,1.2082
r 10000 1.2082,Q,0,1.2082
r 10000 1.2082,R,0,1.2082
r 10000 1.2083,H,0,1.2083
r 10000 1.2083,M,1,1.2083
r 10000 1.2083,Q,0,1.2083
r 10000 1.2083,R,0,1.2083
r 10000 1.2084,H,1,1.2084
r 10000 1.2084,M,0,1.2084
r 10000 1.2084,Q,0,1.2084
r 10000 1.2084,R,0,1.2084
r 10000 1.2085,H,0,1.2085
r 10000 1.2085,M,0,1.2085
r 10000 1.2085,Q,1,1.2085
r 10000 1.2085,R,0,1.2085
r 10000 1.2086,H,1,1.2086
r 10000 1.2086,M,0,1.2086
r 10000 1.2086,Q,0,1.2086
r 10000 1.2086,R,0,1.2086
r 10000 1.2087,H,0,1.2087
r 10000 1.2087,M,0,1.2087
r 10000 1.2087,Q,0,1.2087
r 10000 1.2087,R,0,1.2087
r 10000 1.2088,H,0,1.2088
r 10000 1.2088,M,1,1.2088
r 10000 1.2088,Q,0,1.2088
r 10000 1.2088,R,0,1.2088
r 10000 1.2089,H,1,1.2089
r 10000 1.2089,M,0,1.2089
r 10000 1.2089,Q,0,1.2089
r 10000 1.2089,R,0,1.2089
r 10000 1.2090,H,1,1.2090
r 10000 1.2090,M,0,1.2090
r 10000 1.2090,Q,0,1.2090
r 10000 1.2090,R,0,1.2090
r 10000 1.2091,H,0,1.2091
r 10000 1.2091,M,0,1.2091
r 10000 1.2091,Q,1,1.2091
r 10000 1.2091,R,0,1.2091
r 10000 1.2092,H,1,1.2092
r 10000 1.2092,M,0,1.2092
r 10000 1.2092,Q,0,1.2092
r 10000 1.2092,R,0,1.2092
r 10000 1.2093,H,0,1.2093
r 10000 1.2093,M,1,1.2093
r 10000 1.2093,Q,0,1.2093
r 10000 1.2093,R,0,1.2093
r 10000 1.2094,H,1,1.2094
r 10000 1.2094,M,0,1.2094
r 10000 1.2094,Q,0,1.2094
r 10000 1.2094,R,0,1.2094
r 10000 1.2095,H,0,1.2095
r 10000 1.2095,M,1,1.2095
r 10000 1.2095,Q,0,1.2095
r 10000 1.2095,R,0,1.2095
r 10000 1.2096,H,1,1.2096
r 10000 1.2096,M,0,1.2096
r 10000 1.2096,Q,0,1.2096
r 10000 1.2096,R,0,1.2096
r 10000 1.2097,H,0,1.2097
r 10000 1.2097,M,0,1.2097
r 10000 1.2097,Q,0,1.2097
r 10000 1.2097,R,0,1.2097
r 10000 1.2098,H,0,1.2098
r 10000 1.2098,M,1,1.2098
r 10000 1.2098,Q,0,1.2098
r 10000 1.2098,R,0,1.2098
r 10000 1.2099,H,1,1.2099
r 10000 1.2099,M,0,1.2099
r 10000 1.2099,Q,0,1.2099
r 10000 1.2099,R,0,1.2099
r 10000 1.2100,H,0,1.2100
r 10000 1.2100,M,1,1.2100
r 10000 1.2100,Q,0,1.2100
r 10000 1.2100,R,0,1.2100
r 10000 1.2101,H,1,1.2101
r 10000 1.2101,M,0,1.2101
r 10000 1.2101,Q,0,1.2101
r 10000 1.2101,R,0,1.2101
r 10000 1.2102,H,0,1.2102
r 10000 1.2102,M,1,1.2102
r 10000 1.2102,Q,0,1.2102
r 10000 1.2102,R,0,1.2102
r 10000 1.2103,H,1,1.2103
r 10000 1.2103,M,0,1.2103
r 10000 1.2103,Q,0,1.2103
r 10000 1.2103,R,0,1.2103
r 10000 1.2104,H,0,1.2104
r 10000 1.2104,M,0,1.2104
r 10000 1.2104,Q,1,1.2104
r 10000 1.2104,R,0,1.2104
r 10000 1.2105,H,1,1.2105
r 10000 1.2105,M,0,1.2105
r 10000 1.2105,Q,0,1.2105
r 10000 1.2105,R,0,1.2105
r 10000 1.2106,H,0,1.2106
r 10000 1.2106,M,0,1.2106
r 10000 1.2106,Q,0,1.2106
r 10000 1.2106,R,0,1.2106
r 10000 1.2107,H,0,1.2107
r 10000 1.2107,M,1,1.2107
r 10000 1.2107,Q,0,1.2107
r 10000 1.2107,R,0,1.2107
r 10000 1.2108,H,1,1.2108
r 10000 1.2108,M,0,1.2108
r 10000 1.2108,Q,0,1.2108
r 10000 1.2108,R,0,1.2108
r 10000 1.2109,H,0,1.2109
r 10000 1.2109,M,1,1.2109
r 10000 1.2109,Q,0,1.2109
r 10000 1.2109,R,0,1.2109
r 10000 1.2110,H,1,1.2110
r 10000 1.2110,M,0,1.2110
r 10000 1.2110,Q,0,1.2110
r 10000 1.2110,R,0,1.2110
r 10000 1.2111,H,0,1.2111
r 10000 1.2111,M,0,1.2111
r 10000 1.2111,Q,1,1.2111
r 10000 1.2111,R,0,1.2111
r 10000 1.2112,H,1,1.2112
r 10000 1.2112,M,0,1.2112
r 10000 1.2112,Q,0,1.2112
r 10000 1.2112,R,0,1.2112
r 10000 1.2113,H,0,1.2113
r 10000 1.2113,M,0,1.2113
r 10000 1.2113,Q,0,1.2113
r 10000 1.2113,R,1,1.2113
r 10000 1.2114,H,0,1.2114
r 10000 1.2114,M,1,1.2114
r 10000 1.2114,Q,0,1.2114
r 10000 1.2114,R,0,1.2114
r 10000 1.2115,H,1,1.2115
r 10000 1.2115,M,0,1.2115
r 10000 1.2115,Q,0,1.2115
r 10000 1.2115,R,0,1.2115
r 10000 1.2116,H,0,1.2116
r 10000 1.2116,M,1,1.2116
r 10000 1.2116,Q,0,1.2116
r 10000 1.2116,R,0,1.2116
r 10000 1.2117,H,1,1.2117
r 10000 1.2117,M,0,1.2117
r 10000 1.2117,Q,0,1.2117
r 10000 1.2117,R,0,1.2117
r 10000 1.2118,H,0,1.2118
r 10000 1.2118,M,0,1.2118
r 10000 1.2118,Q,1,1.2118
r 10000 1.2118,R,0,1.2118
r 10000 1.2119,H,1,1.2119
r 10000 1.2119,M,0,1.2119
r 10000 1.2119,Q,0,1.2119
r 10000 1.2119,R,0,1.2119
r 10000 1.2120,H,0,1.2120
r 10000 1.2120,M,0,1.2120
r 10000 1.2120,Q,0,1.2120
r 10000 1.2120,R,0,1.2120
r 10000 1.2121,H,0,1.2121
r 10000 1.2121,M,1,1.2121
r 10000 1.2121,Q,0,1.2121
r 10000 1.2121,R,0,1.2121
r 10000 1.2122,H,1,1.2122
r 10000 1.2122,M,0,1.2122
r 10000 1.2122,Q,0,1.2122
r 10000 1.2122,R,0,1.2122
r 10000 1.2123,H,0,1.2123
r 10000 1.2123,M,1,1.2123
r 10000 1.2123,Q,0,1.2123
r 10000 1.2123,R,0,1.2123
r 10000 1.2124,H,1,1.2124
r 10000 1.2124,M,0,1.2124
r 10000 1.2124,Q,0,1.2124
r 10000 1.2124,R,0,1.2124
r 10000 1.2125,H,0,1.2125
r 10000 1.2125,M,1,1.2125
r 10000 1.2125,Q,0,1.2125
r 10000 1.2125,R,0,1.2125
r 10000 1.2126,H,1,1.2126
r 10000 1.2126,M,0,1.2126
r 10000 1.2126,Q,0,1.2126
r 10000 1.2126,R,0,1.2126
r 10000 1.2127,H,0,1.2127
r 10000 1.2127,M,1,1.2127
r 10000 1.2127,Q,0,1.2127
r 10000 1.2127,R,0,1.2127
r 10000 1.2128,H,1,1.2128
r 10000 1.2128,M,0,1.2128
r 10000 1.2128,Q,0,1.2128
r 10000 1.2128,R,0,1.2128
r 10000 1.2129,H,0,1.2129
r 10000 1.2129,M,0,1.2129
r 10000 1.2129,Q,0,1.2129
r 10000 1.2129,R,0,1.2129
r 10000 1.2130,H,0,1.2130
r 10000 1.2130,M,1,1.2130
r 10000 1.2130,Q,0,1.2130
r 10000 1.2130,R,0,1.2130
r 10000 1.2131,H,1,1.2131
r 10000 1.2131,M,0,1.2131
r 10000 1.2131,Q,1,1.2131
r 10000 1.2131,R,0,1.2131
r 10000 1.2132,H,1,1.2132
r 10000 1.2132,M,0,1.2132
r 10000 1.2132,Q,0,1.2132
r 10000 1.2132,R,0,1.2132
r 10000 1.2133,H,0,1.2133
r 10000 1.2133,M,0,1.2133
r 10000 1.2133,Q,0,1.2133
r 10000 1.2133,R,1,1.2133
r 10000 1.2134,H,1,1.2134
r 10000 1.2134,M,0,1.2134
r 10000 1.2134,Q,0,1.2134
