Test Case,Algorithm,Execution Time,std
r 10000 0.1070,Q,0,0.1070
r 10000 0.1070,R,0,0.1070
r 10000 0.1071,H,0,0.1071
r 10000 0.1071,M,0,0.1071
r 10000 0.1071,Q,0,0.1071
r 10000 0.1071,R,0,0.1071
r 10000 0.1072,H,0,0.1072
r 10000 0.1072,M,0,0.1072
r 10000 0.1072,Q,0,0.1072
r 10000 0.1072,R,0,0.1072
r 10000 0.1073,H,0,0.1073
r 10000 0.1073,M,1,0.1073
r 10000 0.1073,Q,0,0.1073
r 10000 0.1073,R,0,0.1073
r 10000 0.1074,H,0,0.1074
r 10000 0.1074,M,0,0.1074
r 10000 0.1074,Q,0,0.1074
r 10000 0.1074,R,0,0.1074
r 10000 0.1075,H,0,0.1075
r 10000 0.1075,M,0,0.1075
r 10000 0.1075,Q,0,0.1075
r 10000 0.1075,R,0,0.1075
r 10000 0.1076,H,0,0.1076
r 10000 0.1076,M,0,0.1076
r 10000 0.1076,Q,0,0.1076
r 10000 0.1076,R,0,0.1076
r 10000 0.1077,H,0,0.1077
r 10000 0.1077,M,0,0.1077
r 10000 0.1077,Q,0,0.1077
r 10000 0.1077,R,0,0.1077
r 10000 0.1078,H,1,0.1078
r 10000 0.1078,M,0,0.1078
r 10000 0.1078,Q,0,0.1078
r 10000 0.1078,R,0,0.1078
r 10000 0.1079,H,0,0.1079
r 10000 0.1079,M,1,0.1079
r 10000 0.1079,Q,0,0.1079
r 10000 0.1079,R,0,0.1079
r 10000 0.1080,H,0,0.1080
r 10000 0.1080,M,0,0.1080
r 10000 0.1080,Q,0,0.1080
r 10000 0.1080,R,0,0.1080
r 10000 0.1081,H,0,0.1081
r 10000 0.1081,M,0,0.1081
r 10000 0.1081,Q,0,0.1081
r 10000 0.1081,R,0,0.1081
r 10000 0.1082,H,0,0.1082
r 10000 0.1082,M,0,0.1082
r 10000 0.1082,Q,0,0.1082
r 10000 0.1082,R,0,0.1082
r 10000 0.1083,H,0,0.1083
r 10000 0.1083,M,0,0.1083
r 10000 0.1083,Q,0,0.1083
r 10000 0.1083,R,0,0.1083
r 10000 0.1084,H,0,0.1084
r 10000 0.1084,M,0,0.1084
r 10000 0.1084,Q,0,0.1084
r 10000 0.1084,R,0,0.1084
r 10000 0.1085,H,0,0.1085
r 10000 0.1085,M,0,0.1085
r 10000 0.1085,Q,0,0.1085
r 10000 0.1085,R,0,0.1085
r 10000 0.1086,H,0,0.1086
r 10000 0.1086,M,0,0.1086
r 10000 0.1086,Q,0,0.1086
r 10000 0.1086,R,0,0.1086
r 10000 0.1087,H,0,0.1087
r 10000 0.1087,M,0,0.1087
r 10000 0.1087,Q,0,0.1087
r 10000 0.1087,R,0,0.1087
r 10000 0.1088,H,0,0.1088
r 10000 0.1088,M,0,0.1088
r 10000 0.1088,Q,0,0.1088
r 10000 0.1088,R,0,0.1088
r 10000 0.1089,H,0,0.1089
r 10000 0.1089,M,0,0.1089
r 10000 0.1089,Q,0,0.1089
r 10000 0.1089,R,0,0.1089
r 10000 0.1090,H,0,0.1090
r 10000 0.1090,M,0,0.1090
r 10000 0.1090,Q,0,0.1090
r 10000 0.1090,R,0,0.1090
r 10000 0.1091,H,0,0.1091
r 10000 0.1091,M,0,0.1091
r 10000 0.1091,Q,0,0.1091
r 10000 0.1091,R,0,0.1091
r 10000 0.1092,H,0,0.1092
r 10000 0.1092,M,0,0.1092
r 10000 0.1092,Q,0,0.1092
r 10000 0.1092,R,0,0.1092
r 10000 0.1093,H,0,0.1093
r 10000 0.1093,M,1,0.1093
r 10000 0.1093,Q,0,0.1093
r 10000 0.1093,R,0,0.1093
r 10000 0.1094,H,0,0.1094
r 10000 0.1094,M,1,0.1094
r 10000 0.1094,Q,0,0.1094
r 10000 0.1094,R,0,0.1094
r 10000 0.1095,H,0,0.1095
r 10000 0.1095,M,0,0.1095
r 10000 0.1095,Q,0,0.1095
r 10000 0.1095,R,0,0.1095
r 10000 0.1096,H,0,0.1096
r 10000 0.1096,M,0,0.1096
r 10000 0.1096,Q,0,0.1096
r 10000 0.1096,R,0,0.1096
r 10000 0.1097,H,0,0.1097
r 10000 0.1097,M,0,0.1097
r 10000 0.1097,Q,0,0.1097
r 10000 0.1097,R,0,0.1097
r 10000 0.1098,H,0,0.1098
r 10000 0.1098,M,0,0.1098
r 10000 0.1098,Q,0,0.1098
r 10000 0.1098,R,0,0.1098
r 10000 0.1099,H,0,0.1099
r 10000 0.1099,M,0,0.1099
r 10000 0.1099,Q,0,0.1099
r 10000 0.1099,R,0,0.1099
r 10000 0.1100,H,0,0.1100
r 10000 0.1100,M,0,0.1100
r 10000 0.1100,Q,0,0.1100
r 10000 0.1100,R,0,0.1100
r 10000 0.1101,H,0,0.1101
r 10000 0.1101,M,0,0.1101
r 10000 0.1101,Q,0,0.1101
r 10000 0.1101,R,0,0.1101
r 10000 0.1102,H,0,0.1102
r 10000 0.1102,M,0,0.1102
r 10000 0.1102,Q,0,0.1102
r 10000 0.1102,R,0,0.1102
r 10000 0.1103,H,0,0.1103
r 10000 0.1103,M,0,0.1103
r 10000 0.1103,Q,0,0.1103
r 10000 0.1103,R,0,0.1103
r 10000 0.1104,H,0,0.1104
r 10000 0.1104,M,0,0.1104
r 10000 0.1104,Q,0,0.1104
r 10000 0.1104,R,0,0.1104
r 10000 0.1105,H,0,0.1105
r 10000 0.1105,M,0,0.1105
r 10000 0.1105,Q,0,0.1105
r 10000 0.1105,R,0,0.1105
r 10000 0.1106,H,0,0.1106
r 10000 0.1106,M,0,0.1106
r 10000 0.1106,Q,0,0.1106
r 10000 0.1106,R,0,0.1106
r 10000 0.1107,H,0,0.1107
r 10000 0.1107,M,0,0.1107
r 10000 0.1107,Q,0,0.1107
r 10000 0.1107,R,0,0.1107
r 10000 0.1108,H,0,0.1108
r 10000 0.1108,M,0,0.1108
r 10000 0.1108,Q,0,0.1108
r 10000 0.1108,R,0,0.1108
r 10000 0.1109,H,0,0.1109
r 10000 0.1109,M,0,0.1109
r 10000 0.1109,Q,0,0.1109
r 10000 0.1109,R,0,0.1109
r 10000 0.1110,H,0,0.1110
r 10000 0.1110,M,0,0.1110
r 10000 0.1110,Q,0,0.1110
r 10000 0.1110,R,0,0.1110
r 10000 0.1111,H,0,0.1111
r 10000 0.1111,M,0,0.1111
r 10000 0.1111,Q,0,0.1111
r 10000 0.1111,R,0,0.1111
r 10000 0.1112,H,0,0.1112
r 10000 0.1112,M,0,0.1112
r 10000 0.1112,Q,0,0.1112
r 10000 0.1112,R,0,0.1112
r 10000 0.1113,H,0,0.1113
r 10000 0.1113,M,0,0.1113
r 10000 0.1113,Q,0,0.1113
r 10000 0.1113,R,0,0.1113
r 10000 0.1114,H,0,0.1114
r 10000 0.1114,M,0,0.1114
r 10000 0.1114,Q,0,0.1114
r 10000 0.1114,R,0,0.1114
r 10000 0.1115,H,0,0.1115
r 10000 0.1115,M,0,0.1115
r 10000 0.1115,Q,0,0.1115
r 10000 0.1115,R,0,0.1115
r 10000 0.1116,H,0,0.1116
r 10000 0.1116,M,0,0.1116
r 10000 0.1116,Q,0,0.1116
r 10000 0.1116,R,0,0.1116
r 10000 0.1117,H,0,0.1117
r 10000 0.1117,M,0,0.1117
r 10000 0.1117,Q,0,0.1117
r 10000 0.1117,R,0,0.1117
r 10000 0.1118,H,0,0.1118
r 10000 0.1118,M,0,0.1118
