Algorithm,swapRate,SortedRatio,ExecutionTime
M,0.004681,0.990715,29
Q,0.004681,0.990715,63
R,0.004681,0.990715,21
I,0.004682,0.990721,5235
H,0.004682,0.990721,51
M,0.004682,0.990721,29
Q,0.004682,0.990721,63
R,0.004682,0.990721,22
I,0.004683,0.990711,5232
H,0.004683,0.990711,51
M,0.004683,0.990711,29
Q,0.004683,0.990711,69
R,0.004683,0.990711,21
I,0.004684,0.990715,5211
H,0.004684,0.990715,51
M,0.004684,0.990715,29
Q,0.004684,0.990715,65
R,0.004684,0.990715,21
I,0.004685,0.990720,5138
H,0.004685,0.990720,51
M,0.004685,0.990720,29
Q,0.004685,0.990720,64
R,0.004685,0.990720,23
I,0.004686,0.990697,5185
H,0.004686,0.990697,51
M,0.004686,0.990697,29
Q,0.004686,0.990697,67
R,0.004686,0.990697,22
I,0.004687,0.990720,5299
H,0.004687,0.990720,52
M,0.004687,0.990720,29
Q,0.004687,0.990720,63
R,0.004687,0.990720,21
I,0.004688,0.990706,5293
H,0.004688,0.990706,51
M,0.004688,0.990706,29
Q,0.004688,0.990706,64
R,0.004688,0.990706,22
I,0.004689,0.990725,5375
H,0.004689,0.990725,51
M,0.004689,0.990725,28
Q,0.004689,0.990725,63
R,0.004689,0.990725,24
I,0.004690,0.990711,5327
H,0.004690,0.990711,51
M,0.004690,0.990711,28
Q,0.004690,0.990711,63
R,0.004690,0.990711,22
I,0.004691,0.990706,5179
H,0.004691,0.990706,51
M,0.004691,0.990706,29
Q,0.004691,0.990706,65
R,0.004691,0.990706,22
I,0.004692,0.990693,5265
H,0.004692,0.990693,50
M,0.004692,0.990693,28
Q,0.004692,0.990693,63
R,0.004692,0.990693,22
I,0.004693,0.990694,5276
H,0.004693,0.990694,53
M,0.004693,0.990694,28
Q,0.004693,0.990694,66
R,0.004693,0.990694,21
I,0.004694,0.990710,5356
H,0.004694,0.990710,51
M,0.004694,0.990710,29
Q,0.004694,0.990710,66
R,0.004694,0.990710,23
I,0.004695,0.990684,5296
H,0.004695,0.990684,51
M,0.004695,0.990684,29
Q,0.004695,0.990684,65
R,0.004695,0.990684,21
I,0.004696,0.990706,5364
H,0.004696,0.990706,52
M,0.004696,0.990706,29
Q,0.004696,0.990706,64
R,0.004696,0.990706,22
I,0.004697,0.990690,5269
H,0.004697,0.990690,50
M,0.004697,0.990690,29
Q,0.004697,0.990690,66
R,0.004697,0.990690,23
I,0.004698,0.990677,5277
H,0.004698,0.990677,50
M,0.004698,0.990677,29
Q,0.004698,0.990677,64
R,0.004698,0.990677,22
I,0.004699,0.990700,5233
H,0.004699,0.990700,51
M,0.004699,0.990700,28
Q,0.004699,0.990700,68
R,0.004699,0.990700,22
I,0.004700,0.990672,5278
H,0.004700,0.990672,51
M,0.004700,0.990672,28
Q,0.004700,0.990672,61
R,0.004700,0.990672,23
I,0.004701,0.990687,5159
H,0.004701,0.990687,51
M,0.004701,0.990687,29
Q,0.004701,0.990687,67
R,0.004701,0.990687,22
I,0.004702,0.990686,5413
H,0.004702,0.990686,52
M,0.004702,0.990686,29
Q,0.004702,0.990686,62
R,0.004702,0.990686,21
I,0.004703,0.990672,5265
H,0.004703,0.990672,51
M,0.004703,0.990672,29
Q,0.004703,0.990672,65
R,0.004703,0.990672,22
I,0.004704,0.990683,5196
H,0.004704,0.990683,51
M,0.004704,0.990683,28
Q,0.004704,0.990683,66
R,0.004704,0.990683,22
I,0.004705,0.990679,5258
H,0.004705,0.990679,52
M,0.004705,0.990679,28
Q,0.004705,0.990679,67
R,0.004705,0.990679,22
I,0.004706,0.990678,5310
H,0.004706,0.990678,51
M,0.004706,0.990678,29
Q,0.004706,0.990678,66
R,0.004706,0.990678,23
I,0.004707,0.990668,5278
H,0.004707,0.990668,51
M,0.004707,0.990668,28
Q,0.004707,0.990668,69
R,0.004707,0.990668,22
I,0.004708,0.990672,5255
H,0.004708,0.990672,52
M,0.004708,0.990672,28
Q,0.004708,0.990672,63
R,0.004708,0.990672,21
I,0.004709,0.990671,5414
H,0.004709,0.990671,51
M,0.004709,0.990671,29
Q,0.004709,0.990671,71
R,0.004709,0.990671,22
I,0.004710,0.990666,5197
H,0.004710,0.990666,51
M,0.004710,0.990666,29
Q,0.004710,0.990666,68
R,0.004710,0.990666,21
I,0.004711,0.990671,5226
H,0.004711,0.990671,51
M,0.004711,0.990671,28
Q,0.004711,0.990671,64
R,0.004711,0.990671,22
I,0.004712,0.990657,5300
H,0.004712,0.990657,51
M,0.004712,0.990657,29
Q,0.004712,0.990657,67
R,0.004712,0.990657,22
I,0.004713,0.990666,5236
H,0.004713,0.990666,51
M,0.004713,0.990666,29
Q,0.004713,0.990666,65
R,0.004713,0.990666,21
I,0.004714,0.990670,5252
H,0.004714,0.990670,52
M,0.004714,0.990670,29
Q,0.004714,0.990670,74
R,0.004714,0.990670,22
I,0.004715,0.990663,5330
H,0.004715,0.990663,51
M,0.004715,0.990663,29
Q,0.004715,0.990663,65
R,0.004715,0.990663,22
I,0.004716,0.990657,5364
H,0.004716,0.990657,51
M,0.004716,0.990657,29
Q,0.004716,0.990657,66
R,0.004716,0.990657,22
I,0.004717,0.990651,5289
H,0.004717,0.990651,51
M,0.004717,0.990651,28
Q,0.004717,0.990651,65
R,0.004717,0.990651,22
I,0.004718,0.990654,5343
H,0.004718,0.990654,51
M,0.004718,0.990654,29
Q,0.004718,0.990654,64
R,0.004718,0.990654,23
I,0.004719,0.990658,5310
H,0.004719,0.990658,51
M,0.004719,0.990658,29
Q,0.004719,0.990658,67
R,0.004719,0.990658,22
I,0.004720,0.990661,5317
H,0.004720,0.990661,52
M,0.004720,0.990661,29
Q,0.004720,0.990661,65
R,0.004720,0.990661,22
I,0.004721,0.990651,5311
H,0.004721,0.990651,51
M,0.004721,0.990651,29
Q,0.004721,0.990651,64
R,0.004721,0.990651,23
I,0.004722,0.990650,5334
H,0.004722,0.990650,51
M,0.004722,0.990650,29
Q,0.004722,0.990650,64
R,0.004722,0.990650,22
I,0.004723,0.990648,5300
H,0.004723,0.990648,52
M,0.004723,0.990648,29
Q,0.004723,0.990648,69
R,0.004723,0.990648,21
I,0.004724,0.990632,5351
H,0.004724,0.990632,51
M,0.004724,0.990632,29
Q,0.004724,0.990632,65
R,0.004724,0.990632,22
I,0.004725,0.990627,5430
H,0.004725,0.990627,51
M,0.004725,0.990627,28
Q,0.004725,0.990627,64
R,0.004725,0.990627,21
I,0.004726,0.990646,5361
H,0.004726,0.990646,52
M,0.004726,0.990646,29
Q,0.004726,0.990646,64
R,0.004726,0.990646,21
I,0.004727,0.990627,5270
H,0.004727,0.990627,51
M,0.004727,0.990627,29
Q,0.004727,0.990627,67
R,0.004727,0.990627,23
I,0.004728,0.990647,5363
H,0.004728,0.990647,51
M,0.004728,0.990647,29
Q,0.004728,0.990647,65
R,0.004728,0.990647,22
I,0.004729,0.990633,5383
H,0.004729,0.990633,52
M,0.004729,0.990633,28
Q,0.004729,0.990633,66
R,0.004729,0.990633,21
I,0.004730,0.990624,5405
H,0.004730,0.990624,51
M,0.004730,0.990624,29
Q,0.004730,0.990624,66
R,0.004730,0.990624,22
I,0.004731,0.990626,5278
H,0.004731,0.990626,51
M,0.004731,0.990626,28
Q,0.004731,0.990626,65
R,0.004731,0.990626,22
I,0.004732,0.990616,5349
H,0.004732,0.990616,52
M,0.004732,0.990616,29
Q,0.004732,0.990616,65
R,0.004732,0.990616,22
I,0.004733,0.990618,5241
H,0.004733,0.990618,51
M,0.004733,0.990618,29
Q,0.004733,0.990618,67
R,0.004733,0.990618,22
I,0.004734,0.990622,5283
H,0.004734,0.990622,51
M,0.004734,0.990622,28
Q,0.004734,0.990622,64
R,0.004734,0.990622,21
I,0.004735,0.990621,5374
H,0.004735,0.990621,52
M,0.004735,0.990621,29
Q,0.004735,0.990621,63
R,0.004735,0.990621,22
I,0.004736,0.990629,5359
H,0.004736,0.990629,51
M,0.004736,0.990629,29
Q,0.004736,0.990629,65
R,0.004736,0.990629,23
I,0.004737,0.990615,5389
H,0.004737,0.990615,51
M,0.004737,0.990615,29
Q,0.004737,0.990615,68
R,0.004737,0.990615,22
I,0.004738,0.990607,5319
H,0.004738,0.990607,52
M,0.004738,0.990607,28
Q,0.004738,0.990607,63
R,0.004738,0.990607,22
I,0.004739,0.990606,5419
H,0.004739,0.990606,51
M,0.004739,0.990606,29
Q,0.004739,0.990606,64
R,0.004739,0.990606,22
I,0.004740,0.990616,5276
H,0.004740,0.990616,50
M,0.004740,0.990616,28
Q,0.004740,0.990616,63
R,0.004740,0.990616,22
I,0.004741,0.990614,5358
H,0.004741,0.990614,51
M,0.004741,0.990614,28
Q,0.004741,0.990614,68
R,0.004741,0.990614,22
I,0.004742,0.990598,5326
H,0.004742,0.990598,51
M,0.004742,0.990598,31
Q,0.004742,0.990598,66
R,0.004742,0.990598,22
I,0.004743,0.990627,5322
H,0.004743,0.990627,51
M,0.004743,0.990627,29
Q,0.004743,0.990627,67
R,0.004743,0.990627,22
I,0.004744,0.990596,5371
H,0.004744,0.990596,52
M,0.004744,0.990596,29
Q,0.004744,0.990596,66
R,0.004744,0.990596,22
I,0.004745,0.990583,5368
H,0.004745,0.990583,51
M,0.004745,0.990583,29
Q,0.004745,0.990583,65
R,0.004745,0.990583,22
I,0.004746,0.990586,5347
H,0.004746,0.990586,51
M,0.004746,0.990586,28
Q,0.004746,0.990586,66
R,0.004746,0.990586,21
I,0.004747,0.990580,5301
H,0.004747,0.990580,52
M,0.004747,0.990580,29
Q,0.004747,0.990580,70
R,0.004747,0.990580,22
I,0.004748,0.990586,5275
H,0.004748,0.990586,51
M,0.004748,0.990586,28
Q,0.004748,0.990586,62
R,0.004748,0.990586,22
I,0.004749,0.990583,5293
H,0.004749,0.990583,51
M,0.004749,0.990583,29
Q,0.004749,0.990583,63
R,0.004749,0.990583,22
I,0.004750,0.990604,5350
H,0.004750,0.990604,51
M,0.004750,0.990604,28
Q,0.004750,0.990604,61
R,0.004750,0.990604,22
I,0.004751,0.990591,5419
H,0.004751,0.990591,51
M,0.004751,0.990591,29
Q,0.004751,0.990591,63
R,0.004751,0.990591,22
I,0.004752,0.990574,5412
H,0.004752,0.990574,50
M,0.004752,0.990574,28
Q,0.004752,0.990574,61
R,0.004752,0.990574,22
I,0.004753,0.990580,5286
H,0.004753,0.990580,52
M,0.004753,0.990580,29
Q,0.004753,0.990580,77
R,0.004753,0.990580,22
I,0.004754,0.990597,5407
H,0.004754,0.990597,51
M,0.004754,0.990597,29
Q,0.004754,0.990597,69
R,0.004754,0.990597,22
I,0.004755,0.990559,5369
H,0.004755,0.990559,51
M,0.004755,0.990559,29
Q,0.004755,0.990559,67
R,0.004755,0.990559,21
I,0.004756,0.990605,5316
H,0.004756,0.990605,52
M,0.004756,0.990605,29
Q,0.004756,0.990605,63
R,0.004756,0.990605,21
I,0.004757,0.990593,5303
H,0.004757,0.990593,50
M,0.004757,0.990593,28
Q,0.004757,0.990593,65
R,0.004757,0.990593,23
I,0.004758,0.990570,5336
H,0.004758,0.990570,50
M,0.004758,0.990570,28
Q,0.004758,0.990570,63
R,0.004758,0.990570,21
I,0.004759,0.990569,5422
H,0.004759,0.990569,53
M,0.004759,0.990569,30
Q,0.004759,0.990569,64
R,0.004759,0.990569,22
I,0.004760,0.990552,5220
H,0.004760,0.990552,51
M,0.004760,0.990552,29
Q,0.004760,0.990552,64
R,0.004760,0.990552,23
I,0.004761,0.990580,5354
H,0.004761,0.990580,51
M,0.004761,0.990580,29
Q,0.004761,0.990580,64
R,0.004761,0.990580,21
I,0.004762,0.990575,5429
H,0.004762,0.990575,52
M,0.004762,0.990575,29
Q,0.004762,0.990575,63
R,0.004762,0.990575,23
I,0.004763,0.990559,5334
H,0.004763,0.990559,51
M,0.004763,0.990559,29
Q,0.004763,0.990559,61
R,0.004763,0.990559,23
I,0.004764,0.990567,5328
H,0.004764,0.990567,51
M,0.004764,0.990567,29
Q,0.004764,0.990567,64
R,0.004764,0.990567,21
I,0.004765,0.990571,5349
H,0.004765,0.990571,52
M,0.004765,0.990571,29
Q,0.004765,0.990571,63
R,0.004765,0.990571,21
I,0.004766,0.990560,5312
H,0.004766,0.990560,51
M,0.004766,0.990560,28
Q,0.004766,0.990560,64
R,0.004766,0.990560,22
I,0.004767,0.990556,5400
H,0.004767,0.990556,51
M,0.004767,0.990556,29
Q,0.004767,0.990556,63
R,0.004767,0.990556,22
I,0.004768,0.990545,5324
H,0.004768,0.990545,52
M,0.004768,0.990545,29
Q,0.004768,0.990545,63
R,0.004768,0.990545,21
I,0.004769,0.990559,5436
H,0.004769,0.990559,51
M,0.004769,0.990559,29
Q,0.004769,0.990559,62
R,0.004769,0.990559,23
I,0.004770,0.990555,5385
H,0.004770,0.990555,51
M,0.004770,0.990555,29
Q,0.004770,0.990555,67
R,0.004770,0.990555,21
I,0.004771,0.990559,5322
H,0.004771,0.990559,52
M,0.004771,0.990559,29
Q,0.004771,0.990559,69
R,0.004771,0.990559,21
I,0.004772,0.990538,5383
H,0.004772,0.990538,51
M,0.004772,0.990538,28
Q,0.004772,0.990538,64
R,0.004772,0.990538,22
I,0.004773,0.990543,5386
H,0.004773,0.990543,51
M,0.004773,0.990543,28
Q,0.004773,0.990543,66
R,0.004773,0.990543,21
I,0.004774,0.990543,5259
H,0.004774,0.990543,52
M,0.004774,0.990543,29
Q,0.004774,0.990543,66
R,0.004774,0.990543,21
I,0.004775,0.990544,5383
H,0.004775,0.990544,51
M,0.004775,0.990544,29
Q,0.004775,0.990544,65
R,0.004775,0.990544,22
I,0.004776,0.990526,5276
H,0.004776,0.990526,51
M,0.004776,0.990526,29
Q,0.004776,0.990526,64
R,0.004776,0.990526,22
I,0.004777,0.990536,5351
H,0.004777,0.990536,52
M,0.004777,0.990536,28
Q,0.004777,0.990536,64
R,0.004777,0.990536,22
I,0.004778,0.990528,5389
H,0.004778,0.990528,51
M,0.004778,0.990528,28
Q,0.004778,0.990528,63
R,0.004778,0.990528,23
I,0.004779,0.990525,5410
H,0.004779,0.990525,51
M,0.004779,0.990525,28
Q,0.004779,0.990525,64
R,0.004779,0.990525,22
I,0.004780,0.990519,5309
H,0.004780,0.990519,52
M,0.004780,0.990519,29
Q,0.004780,0.990519,69
R,0.004780,0.990519,22
I,0.004781,0.990539,5285
H,0.004781,0.990539,51
M,0.004781,0.990539,29
Q,0.004781,0.990539,64
R,0.004781,0.990539,22
I,0.004782,0.990524,5332
H,0.004782,0.990524,52
M,0.004782,0.990524,30
Q,0.004782,0.990524,61
R,0.004782,0.990524,22
I,0.004783,0.990522,5397
H,0.004783,0.990522,51
M,0.004783,0.990522,28
Q,0.004783,0.990522,67
R,0.004783,0.990522,21
I,0.004784,0.990513,5317
H,0.004784,0.990513,51
M,0.004784,0.990513,28
Q,0.004784,0.990513,63
R,0.004784,0.990513,22
I,0.004785,0.990523,5343
H,0.004785,0.990523,51
M,0.004785,0.990523,28
Q,0.004785,0.990523,68
R,0.004785,0.990523,22
I,0.004786,0.990518,5287
H,0.004786,0.990518,52
M,0.004786,0.990518,29
Q,0.004786,0.990518,68
R,0.004786,0.990518,22
I,0.004787,0.990508,5314
H,0.004787,0.990508,51
M,0.004787,0.990508,29
Q,0.004787,0.990508,62
R,0.004787,0.990508,23
I,0.004788,0.990523,5379
H,0.004788,0.990523,51
M,0.004788,0.990523,29
Q,0.004788,0.990523,64
R,0.004788,0.990523,22
I,0.004789,0.990509,5421
H,0.004789,0.990509,53
M,0.004789,0.990509,29
Q,0.004789,0.990509,66
R,0.004789,0.990509,21
I,0.004790,0.990509,5459
H,0.004790,0.990509,51
M,0.004790,0.990509,29
Q,0.004790,0.990509,64
R,0.004790,0.990509,23
I,0.004791,0.990503,5310
H,0.004791,0.990503,51
M,0.004791,0.990503,29
Q,0.004791,0.990503,69
R,0.004791,0.990503,22
I,0.004792,0.990514,5331
H,0.004792,0.990514,52
M,0.004792,0.990514,29
Q,0.004792,0.990514,64
R,0.004792,0.990514,22
I,0.004793,0.990512,5367
H,0.004793,0.990512,51
M,0.004793,0.990512,29
Q,0.004793,0.990512,65
R,0.004793,0.990512,23
I,0.004794,0.990508,5383
H,0.004794,0.990508,51
M,0.004794,0.990508,29
Q,0.004794,0.990508,67
R,0.004794,0.990508,22
I,0.004795,0.990499,5403
H,0.004795,0.990499,52
M,0.004795,0.990499,29
Q,0.004795,0.990499,65
R,0.004795,0.990499,22
I,0.004796,0.990507,5435
H,0.004796,0.990507,51
M,0.004796,0.990507,29
Q,0.004796,0.990507,70
R,0.004796,0.990507,22
I,0.004797,0.990502,5395
H,0.004797,0.990502,51
M,0.004797,0.990502,28
Q,0.004797,0.990502,73
R,0.004797,0.990502,22
I,0.004798,0.990498,5431
H,0.004798,0.990498,52
M,0.004798,0.990498,29
Q,0.004798,0.990498,62
R,0.004798,0.990498,21
I,0.004799,0.990500,5386
H,0.004799,0.990500,51
M,0.004799,0.990500,29
Q,0.004799,0.990500,67
R,0.004799,0.990500,22
I,0.004800,0.990491,5420
H,0.004800,0.990491,51
M,0.004800,0.990491,29
Q,0.004800,0.990491,69
R,0.004800,0.990491,21
I,0.004801,0.990494,5342
H,0.004801,0.990494,51
M,0.004801,0.990494,29
Q,0.004801,0.990494,62
R,0.004801,0.990494,21
I,0.004802,0.990484,5440
H,0.004802,0.990484,51
M,0.004802,0.990484,29
Q,0.004802,0.990484,65
R,0.004802,0.990484,22
I,0.004803,0.990493,5446
H,0.004803,0.990493,51
M,0.004803,0.990493,29
Q,0.004803,0.990493,64
R,0.004803,0.990493,22
I,0.004804,0.990480,5432
H,0.004804,0.990480,52
M,0.004804,0.990480,28
Q,0.004804,0.990480,66
R,0.004804,0.990480,22
I,0.004805,0.990482,5468
H,0.004805,0.990482,50
M,0.004805,0.990482,29
Q,0.004805,0.990482,63
R,0.004805,0.990482,23
I,0.004806,0.990474,5371
H,0.004806,0.990474,51
M,0.004806,0.990474,29
Q,0.004806,0.990474,66
R,0.004806,0.990474,22
I,0.004807,0.990476,5413
H,0.004807,0.990476,52
M,0.004807,0.990476,29
Q,0.004807,0.990476,63
R,0.004807,0.990476,21
I,0.004808,0.990476,5444
H,0.004808,0.990476,50
M,0.004808,0.990476,28
Q,0.004808,0.990476,63
R,0.004808,0.990476,23
I,0.004809,0.990482,5384
H,0.004809,0.990482,51
M,0.004809,0.990482,29
Q,0.004809,0.990482,66
R,0.004809,0.990482,22
I,0.004810,0.990461,5397
H,0.004810,0.990461,52
M,0.004810,0.990461,29
Q,0.004810,0.990461,65
R,0.004810,0.990461,22
I,0.004811,0.990474,5397
H,0.004811,0.990474,51
M,0.004811,0.990474,29
Q,0.004811,0.990474,63
R,0.004811,0.990474,22
I,0.004812,0.990458,5385
H,0.004812,0.990458,51
M,0.004812,0.990458,29
Q,0.004812,0.990458,66
R,0.004812,0.990458,22
I,0.004813,0.990461,5420
H,0.004813,0.990461,52
M,0.004813,0.990461,28
Q,0.004813,0.990461,65
R,0.004813,0.990461,21
I,0.004814,0.990470,5386
H,0.004814,0.990470,51
M,0.004814,0.990470,28
Q,0.004814,0.990470,71
R,0.004814,0.990470,23
I,0.004815,0.990448,5391
H,0.004815,0.990448,51
M,0.004815,0.990448,28
Q,0.004815,0.990448,63
R,0.004815,0.990448,22
I,0.004816,0.990447,5349
H,0.004816,0.990447,53
M,0.004816,0.990447,29
Q,0.004816,0.990447,66
R,0.004816,0.990447,22
I,0.004817,0.990457,5478
H,0.004817,0.990457,51
M,0.004817,0.990457,29
Q,0.004817,0.990457,67
R,0.004817,0.990457,22
I,0.004818,0.990466,5412
H,0.004818,0.990466,51
M,0.004818,0.990466,29
Q,0.004818,0.990466,68
R,0.004818,0.990466,22
I,0.004819,0.990455,5451
H,0.004819,0.990455,52
M,0.004819,0.990455,29
Q,0.004819,0.990455,65
R,0.004819,0.990455,21
I,0.004820,0.990440,5380
H,0.004820,0.990440,51
M,0.004820,0.990440,29
Q,0.004820,0.990440,69
R,0.004820,0.990440,22
I,0.004821,0.990460,5379
H,0.004821,0.990460,51
M,0.004821,0.990460,29
Q,0.004821,0.990460,66
R,0.004821,0.990460,22
I,0.004822,0.990450,5321
H,0.004822,0.990450,52
M,0.004822,0.990450,29
Q,0.004822,0.990450,66
R,0.004822,0.990450,21
I,0.004823,0.990438,5411
H,0.004823,0.990438,51
M,0.004823,0.990438,29
Q,0.004823,0.990438,63
R,0.004823,0.990438,22
I,0.004824,0.990433,5380
H,0.004824,0.990433,51
M,0.004824,0.990433,29
Q,0.004824,0.990433,65
R,0.004824,0.990433,21
I,0.004825,0.990442,5479
H,0.004825,0.990442,52
M,0.004825,0.990442,28
Q,0.004825,0.990442,66
R,0.004825,0.990442,22
I,0.004826,0.990429,5380
H,0.004826,0.990429,51
M,0.004826,0.990429,29
Q,0.004826,0.990429,64
R,0.004826,0.990429,22
I,0.004827,0.990441,5512
H,0.004827,0.990441,51
M,0.004827,0.990441,29
Q,0.004827,0.990441,72
R,0.004827,0.990441,22
I,0.004828,0.990428,5454
H,0.004828,0.990428,52
M,0.004828,0.990428,29
Q,0.004828,0.990428,65
R,0.004828,0.990428,22
I,0.004829,0.990435,5468
H,0.004829,0.990435,51
M,0.004829,0.990435,29
Q,0.004829,0.990435,62
R,0.004829,0.990435,23
I,0.004830,0.990424,5503
H,0.004830,0.990424,52
M,0.004830,0.990424,29
Q,0.004830,0.990424,66
R,0.004830,0.990424,21
I,0.004831,0.990445,5417
H,0.004831,0.990445,51
M,0.004831,0.990445,28
Q,0.004831,0.990445,65
R,0.004831,0.990445,22
I,0.004832,0.990443,5416
H,0.004832,0.990443,51
M,0.004832,0.990443,29
Q,0.004832,0.990443,62
R,0.004832,0.990443,22
I,0.004833,0.990432,5458
H,0.004833,0.990432,52
M,0.004833,0.990432,29
Q,0.004833,0.990432,63
R,0.004833,0.990432,22
I,0.004834,0.990413,5412
H,0.004834,0.990413,51
M,0.004834,0.990413,28
Q,0.004834,0.990413,64
R,0.004834,0.990413,21
I,0.004835,0.990431,5389
H,0.004835,0.990431,51
M,0.004835,0.990431,29
Q,0.004835,0.990431,63
R,0.004835,0.990431,22
I,0.004836,0.990418,5407
H,0.004836,0.990418,51
M,0.004836,0.990418,29
Q,0.004836,0.990418,66
R,0.004836,0.990418,22
I,0.004837,0.990420,5518
H,0.004837,0.990420,52
M,0.004837,0.990420,29
Q,0.004837,0.990420,64
R,0.004837,0.990420,22
I,0.004838,0.990424,5489
H,0.004838,0.990424,50
M,0.004838,0.990424,28
Q,0.004838,0.990424,62
R,0.004838,0.990424,22
I,0.004839,0.990399,5326
H,0.004839,0.990399,52
M,0.004839,0.990399,29
Q,0.004839,0.990399,64
R,0.004839,0.990399,21
I,0.004840,0.990418,5373
H,0.004840,0.990418,52
M,0.004840,0.990418,28
Q,0.004840,0.990418,63
R,0.004840,0.990418,21
I,0.004841,0.990409,5606
H,0.004841,0.990409,51
M,0.004841,0.990409,29
Q,0.004841,0.990409,66
R,0.004841,0.990409,22
I,0.004842,0.990421,5395
H,0.004842,0.990421,51
M,0.004842,0.990421,28
Q,0.004842,0.990421,64
R,0.004842,0.990421,22
I,0.004843,0.990399,5445
H,0.004843,0.990399,52
M,0.004843,0.990399,29
Q,0.004843,0.990399,63
R,0.004843,0.990399,22
I,0.004844,0.990406,5441
H,0.004844,0.990406,51
M,0.004844,0.990406,28
Q,0.004844,0.990406,66
R,0.004844,0.990406,23
I,0.004845,0.990407,5502
H,0.004845,0.990407,51
M,0.004845,0.990407,29
Q,0.004845,0.990407,64
R,0.004845,0.990407,21
I,0.004846,0.990408,5506
H,0.004846,0.990408,53
M,0.004846,0.990408,29
Q,0.004846,0.990408,67
R,0.004846,0.990408,22
I,0.004847,0.990411,5437
H,0.004847,0.990411,51
M,0.004847,0.990411,29
Q,0.004847,0.990411,63
R,0.004847,0.990411,23
I,0.004848,0.990385,5508
H,0.004848,0.990385,51
M,0.004848,0.990385,28
Q,0.004848,0.990385,62
R,0.004848,0.990385,21
I,0.004849,0.990402,5406
H,0.004849,0.990402,52
M,0.004849,0.990402,29
Q,0.004849,0.990402,65
R,0.004849,0.990402,21
I,0.004850,0.990393,5362
H,0.004850,0.990393,51
M,0.004850,0.990393,28
Q,0.004850,0.990393,66
R,0.004850,0.990393,22
I,0.004851,0.990388,5455
H,0.004851,0.990388,51
M,0.004851,0.990388,28
Q,0.004851,0.990388,65
R,0.004851,0.990388,22
I,0.004852,0.990395,5335
H,0.004852,0.990395,52
M,0.004852,0.990395,28
Q,0.004852,0.990395,64
R,0.004852,0.990395,21
I,0.004853,0.990397,5511
H,0.004853,0.990397,51
M,0.004853,0.990397,29
Q,0.004853,0.990397,63
R,0.004853,0.990397,23
I,0.004854,0.990373,5403
H,0.004854,0.990373,51
M,0.004854,0.990373,29
Q,0.004854,0.990373,65
R,0.004854,0.990373,21
I,0.004855,0.990377,5415
H,0.004855,0.990377,51
M,0.004855,0.990377,29
Q,0.004855,0.990377,67
R,0.004855,0.990377,21
I,0.004856,0.990378,5369
H,0.004856,0.990378,51
M,0.004856,0.990378,29
Q,0.004856,0.990378,63
R,0.004856,0.990378,23
I,0.004857,0.990377,5408
H,0.004857,0.990377,51
M,0.004857,0.990377,29
Q,0.004857,0.990377,62
R,0.004857,0.990377,21
I,0.004858,0.990401,5561
H,0.004858,0.990401,52
M,0.004858,0.990401,30
Q,0.004858,0.990401,64
R,0.004858,0.990401,22
I,0.004859,0.990382,5490
H,0.004859,0.990382,51
M,0.004859,0.990382,29
Q,0.004859,0.990382,71
R,0.004859,0.990382,23
I,0.004860,0.990402,5417
H,0.004860,0.990402,51
M,0.004860,0.990402,29
Q,0.004860,0.990402,64
R,0.004860,0.990402,22
I,0.004861,0.990373,5460
H,0.004861,0.990373,52
M,0.004861,0.990373,29
Q,0.004861,0.990373,66
R,0.004861,0.990373,22
I,0.004862,0.990365,5392
H,0.004862,0.990365,51
M,0.004862,0.990365,29
Q,0.004862,0.990365,66
R,0.004862,0.990365,22
I,0.004863,0.990374,5477
H,0.004863,0.990374,51
M,0.004863,0.990374,29
Q,0.004863,0.990374,69
R,0.004863,0.990374,22
I,0.004864,0.990382,5353
H,0.004864,0.990382,52
M,0.004864,0.990382,29
Q,0.004864,0.990382,63
R,0.004864,0.990382,21
I,0.004865,0.990369,5461
H,0.004865,0.990369,51
M,0.004865,0.990369,29
Q,0.004865,0.990369,68
R,0.004865,0.990369,22
I,0.004866,0.990362,5462
H,0.004866,0.990362,51
M,0.004866,0.990362,29
Q,0.004866,0.990362,66
R,0.004866,0.990362,21
I,0.004867,0.990361,5401
H,0.004867,0.990361,52
M,0.004867,0.990361,29
Q,0.004867,0.990361,63
R,0.004867,0.990361,21
I,0.004868,0.990361,5470
H,0.004868,0.990361,51
M,0.004868,0.990361,29
Q,0.004868,0.990361,64
R,0.004868,0.990361,22
I,0.004869,0.990352,5518
H,0.004869,0.990352,51
M,0.004869,0.990352,29
Q,0.004869,0.990352,69
R,0.004869,0.990352,21
I,0.004870,0.990342,5452
H,0.004870,0.990342,52
M,0.004870,0.990342,28
Q,0.004870,0.990342,63
R,0.004870,0.990342,21
I,0.004871,0.990343,5510
H,0.004871,0.990343,51
M,0.004871,0.990343,29
Q,0.004871,0.990343,67
R,0.004871,0.990343,23
I,0.004872,0.990348,5527
H,0.004872,0.990348,51
M,0.004872,0.990348,29
Q,0.004872,0.990348,64
R,0.004872,0.990348,22
I,0.004873,0.990318,5508
H,0.004873,0.990318,52
M,0.004873,0.990318,29
Q,0.004873,0.990318,65
R,0.004873,0.990318,22
I,0.004874,0.990346,5432
H,0.004874,0.990346,51
M,0.004874,0.990346,28
Q,0.004874,0.990346,63
R,0.004874,0.990346,23
I,0.004875,0.990357,5544
H,0.004875,0.990357,51
