Algorithm,swapRate,SortedRatio,ExecutionTime
M,0.000070,0.999862,24
Q,0.000070,0.999862,286
R,0.000070,0.999862,21
I,0.000071,0.999860,81
H,0.000071,0.999860,48
M,0.000071,0.999860,25
Q,0.000071,0.999860,271
R,0.000071,0.999860,21
I,0.000072,0.999858,78
H,0.000072,0.999858,48
M,0.000072,0.999858,25
Q,0.000072,0.999858,267
R,0.000072,0.999858,21
I,0.000073,0.999856,69
H,0.000073,0.999856,48
M,0.000073,0.999856,24
Q,0.000073,0.999856,239
R,0.000073,0.999856,20
I,0.000074,0.999854,67
H,0.000074,0.999854,48
M,0.000074,0.999854,25
Q,0.000074,0.999854,254
R,0.000074,0.999854,21
I,0.000075,0.999852,70
H,0.000075,0.999852,48
M,0.000075,0.999852,25
Q,0.000075,0.999852,309
R,0.000075,0.999852,21
I,0.000076,0.999850,71
H,0.000076,0.999850,48
M,0.000076,0.999850,25
Q,0.000076,0.999850,386
R,0.000076,0.999850,21
I,0.000077,0.999848,84
H,0.000077,0.999848,48
M,0.000077,0.999848,25
Q,0.000077,0.999848,234
R,0.000077,0.999848,20
I,0.000078,0.999846,98
H,0.000078,0.999846,48
M,0.000078,0.999846,25
Q,0.000078,0.999846,242
R,0.000078,0.999846,20
I,0.000079,0.999844,78
H,0.000079,0.999844,48
M,0.000079,0.999844,25
Q,0.000079,0.999844,269
R,0.000079,0.999844,20
I,0.000080,0.999842,76
H,0.000080,0.999842,48
M,0.000080,0.999842,25
Q,0.000080,0.999842,266
R,0.000080,0.999842,21
I,0.000081,0.999840,92
H,0.000081,0.999840,47
M,0.000081,0.999840,24
Q,0.000081,0.999840,220
R,0.000081,0.999840,21
I,0.000082,0.999838,80
H,0.000082,0.999838,49
M,0.000082,0.999838,25
Q,0.000082,0.999838,337
R,0.000082,0.999838,20
I,0.000083,0.999836,79
H,0.000083,0.999836,48
M,0.000083,0.999836,25
Q,0.000083,0.999836,309
R,0.000083,0.999836,21
I,0.000084,0.999834,103
H,0.000084,0.999834,48
M,0.000084,0.999834,24
