Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
R,0.000095,0.999812,35
H,0.000096,0.999810,55
M,0.000096,0.999810,24
Q,0.000096,0.999810,290
R,0.000096,0.999810,33
H,0.000097,0.999808,75
M,0.000097,0.999808,34
Q,0.000097,0.999808,372
R,0.000097,0.999808,26
H,0.000098,0.999806,61
M,0.000098,0.999806,21
Q,0.000098,0.999806,337
R,0.000098,0.999806,25
H,0.000099,0.999804,76
M,0.000099,0.999804,23
Q,0.000099,0.999804,197
R,0.000099,0.999804,27
H,0.000100,0.999802,60
M,0.000100,0.999802,24
Q,0.000100,0.999802,174
R,0.000100,0.999802,42
H,0.000101,0.999800,71
M,0.000101,0.999800,21
Q,0.000101,0.999800,91
R,0.000101,0.999800,26
H,0.000102,0.999798,64
M,0.000102,0.999798,27
Q,0.000102,0.999798,267
R,0.000102,0.999798,33
H,0.000103,0.999796,70
M,0.000103,0.999796,25
Q,0.000103,0.999796,199
R,0.000103,0.999796,38
H,0.000104,0.999794,67
M,0.000104,0.999794,21
Q,0.000104,0.999794,136
R,0.000104,0.999794,26
H,0.000105,0.999792,62
M,0.000105,0.999792,28
Q,0.000105,0.999792,214
R,0.000105,0.999792,33
H,0.000106,0.999790,65
M,0.000106,0.999790,21
Q,0.000106,0.999790,288
R,0.000106,0.999790,26
H,0.000107,0.999788,63
M,0.000107,0.999788,31
Q,0.000107,0.999788,250
R,0.000107,0.999788,27
H,0.000108,0.999786,80
M,0.000108,0.999786,24
Q,0.000108,0.999786,132
R,0.000108,0.999786,26
H,0.000109,0.999784,68
M,0.000109,0.999784,20
Q,0.000109,0.999784,313
R,0.000109,0.999784,34
H,0.000110,0.999782,55
M,0.000110,0.999782,23
Q,0.000110,0.999782,288
R,0.000110,0.999782,32
H,0.000111,0.999780,62
M,0.000111,0.999780,21
Q,0.000111,0.999780,159
R,0.000111,0.999780,38
H,0.000112,0.999778,67
M,0.000112,0.999778,31
Q,0.000112,0.999778,156
R,0.000112,0.999778,26
H,0.000113,0.999776,64
M,0.000113,0.999776,23
Q,0.000113,0.999776,229
R,0.000113,0.999776,29
H,0.000114,0.999774,74
M,0.000114,0.999774,21
Q,0.000114,0.999774,186
R,0.000114,0.999774,30
H,0.000115,0.999772,55
