Algorithm,swapRate,ReverseSortedRatio,ExecutionTime
M,0.00074,0.998523,117
Q,0.00074,0.998523,361
R,0.00074,0.998523,34
H,0.00075,0.998503,75
M,0.00075,0.998503,36
Q,0.00075,0.998503,158
R,0.00075,0.998503,44
H,0.00076,0.998484,73
M,0.00076,0.998484,35
Q,0.00076,0.998484,164
R,0.00076,0.998484,34
H,0.00077,0.998462,70
M,0.00077,0.998462,38
Q,0.00077,0.998462,166
R,0.00077,0.998462,43
H,0.00078,0.998441,69
M,0.00078,0.998441,32
Q,0.00078,0.998441,106
R,0.00078,0.998441,29
H,0.00079,0.998423,59
M,0.00079,0.998423,29
Q,0.00079,0.998423,158
R,0.00079,0.998423,45
H,0.00080,0.998402,61
M,0.00080,0.998402,25
Q,0.00080,0.998402,103
R,0.00080,0.998402,42
H,0.00081,0.998382,58
M,0.00081,0.998382,32
Q,0.00081,0.998382,168
R,0.00081,0.998382,29
H,0.00082,0.998365,65
M,0.00082,0.998365,47
Q,0.00082,0.998365,161
R,0.00082,0.998365,30
H,0.00083,0.998343,66
M,0.00083,0.998343,28
Q,0.00083,0.998343,167
R,0.00083,0.998343,32
H,0.00084,0.998323,62
M,0.00084,0.998323,25
Q,0.00084,0.998323,150
R,0.00084,0.998323,31
H,0.00085,0.998304,67
M,0.00085,0.998304,25
Q,0.00085,0.998304,135
R,0.00085,0.998304,47
H,0.00086,0.998284,60
M,0.00086,0.998284,33
Q,0.00086,0.998284,115
R,0.00086,0.998284,26
H,0.00087,0.998262,53
M,0.00087,0.998262,33
Q,0.00087,0.998262,171
R,0.00087,0.998262,34
H,0.00088,0.998242,61
M,0.00088,0.998242,27
Q,0.00088,0.998242,85
R,0.00088,0.998242,33
H,0.00089,0.998226,70
M,0.00089,0.998226,30
Q,0.00089,0.998226,144
R,0.00089,0.998226,33
H,0.00090,0.998202,72
M,0.00090,0.998202,26
Q,0.00090,0.998202,107
R,0.00090,0.998202,39
H,0.00091,0.998185,67
M,0.00091,0.998185,29
Q,0.00091,0.998185,157
R,0.00091,0.998185,38
H,0.00092,0.998161,111
M,0.00092,0.998161,44
Q,0.00092,0.998161,127
R,0.00092,0.998161,30
H,0.00093,0.998146,58
M,0.00093,0.998146,33
Q,0.00093,0.998146,143
R,0.00093,0.998146,34
H,0.00094,0.998124,66
M,0.00094,0.998124,30
Q,0.00094,0.998124,81
R,0.00094,0.998124,35
H,0.00095,0.998101,63
M,0.00095,0.998101,26
Q,0.00095,0.998101,82
R,0.00095,0.998101,44
H,0.00096,0.998082,66
M,0.00096,0.998082,37
Q,0.00096,0.998082,108
R,0.00096,0.998082,47
H,0.00097,0.998061,79
M,0.00097,0.998061,37
Q,0.00097,0.998061,153
R,0.00097,0.998061,37
H,0.00098,0.998042,55
M,0.00098,0.998042,29
Q,0.00098,0.998042,117
R,0.00098,0.998042,37
H,0.00099,0.998023,63
M,0.00099,0.998023,28
Q,0.00099,0.998023,92
R,0.00099,0.998023,37
H,0.00100,0.998002,54
M,0.00100,0.998002,26
Q,0.00100,0.998002,109
R,0.00100,0.998002,43
H,0.00101,0.997982,64
M,0.00101,0.997982,30
Q,0.00101,0.997982,118
R,0.00101,0.997982,33
H,0.00102,0.997966,66
M,0.00102,0.997966,38
Q,0.00102,0.997966,91
R,0.00102,0.997966,41
H,0.00103,0.997948,63
M,0.00103,0.997948,30
Q,0.00103,0.997948,147
R,0.00103,0.997948,41
H,0.00104,0.997928,72
M,0.00104,0.997928,35
Q,0.00104,0.997928,125
R,0.00104,0.997928,41
H,0.00105,0.997903,63
M,0.00105,0.997903,29
Q,0.00105,0.997903,128
R,0.00105,0.997903,42
H,0.00106,0.997886,69
M,0.00106,0.997886,35
Q,0.00106,0.997886,97
R,0.00106,0.997886,39
H,0.00107,0.997868,68
M,0.00107,0.997868,33
Q,0.00107,0.997868,89
R,0.00107,0.997868,41
H,0.00108,0.997843,70
M,0.00108,0.997843,26
Q,0.00108,0.997843,89
R,0.00108,0.997843,33
H,0.00109,0.997828,64
M,0.00109,0.997828,33
Q,0.00109,0.997828,100
R,0.00109,0.997828,37
H,0.00110,0.997806,66
M,0.00110,0.997806,29
Q,0.00110,0.997806,133
R,0.00110,0.997806,40
H,0.00111,0.997783,62
M,0.00111,0.997783,26
Q,0.00111,0.997783,127
R,0.00111,0.997783,32
H,0.00112,0.997766,69
M,0.00112,0.997766,38
Q,0.00112,0.997766,150
R,0.00112,0.997766,34
H,0.00113,0.997744,64
M,0.00113,0.997744,24
Q,0.00113,0.997744,181
R,0.00113,0.997744,48
H,0.00114,0.997723,70
M,0.00114,0.997723,32
Q,0.00114,0.997723,102
R,0.00114,0.997723,34
H,0.00115,0.997704,72
M,0.00115,0.997704,29
Q,0.00115,0.997704,124
R,0.00115,0.997704,40
H,0.00116,0.997688,68
M,0.00116,0.997688,29
Q,0.00116,0.997688,107
R,0.00116,0.997688,33
H,0.00117,0.997665,61
M,0.00117,0.997665,35
Q,0.00117,0.997665,158
R,0.00117,0.997665,41
H,0.00118,0.997643,72
M,0.00118,0.997643,27
Q,0.00118,0.997643,131
R,0.00118,0.997643,38
H,0.00119,0.997625,64
M,0.00119,0.997625,28
Q,0.00119,0.997625,436
R,0.00119,0.997625,46
H,0.00120,0.997613,84
M,0.00120,0.997613,31
Q,0.00120,0.997613,155
R,0.00120,0.997613,50
H,0.00121,0.997587,67
M,0.00121,0.997587,35
Q,0.00121,0.997587,70
R,0.00121,0.997587,41
H,0.00122,0.997567,65
M,0.00122,0.997567,69
Q,0.00122,0.997567,190
R,0.00122,0.997567,41
H,0.00123,0.997547,94
M,0.00123,0.997547,145
Q,0.00123,0.997547,450
R,0.00123,0.997547,53
H,0.00124,0.997528,79
M,0.00124,0.997528,32
Q,0.00124,0.997528,103
R,0.00124,0.997528,36
H,0.00125,0.997504,101
M,0.00125,0.997504,28
Q,0.00125,0.997504,98
R,0.00125,0.997504,35
H,0.00126,0.997485,64
M,0.00126,0.997485,30
Q,0.00126,0.997485,123
R,0.00126,0.997485,31
H,0.00127,0.997466,66
M,0.00127,0.997466,37
Q,0.00127,0.997466,107
R,0.00127,0.997466,44
H,0.00128,0.997448,61
M,0.00128,0.997448,89
Q,0.00128,0.997448,150
R,0.00128,0.997448,70
H,0.00129,0.997426,107
M,0.00129,0.997426,25
Q,0.00129,0.997426,101
R,0.00129,0.997426,39
H,0.00130,0.997408,69
M,0.00130,0.997408,29
Q,0.00130,0.997408,125
R,0.00130,0.997408,35
H,0.00131,0.997388,60
M,0.00131,0.997388,28
Q,0.00131,0.997388,81
R,0.00131,0.997388,42
H,0.00132,0.997365,54
M,0.00132,0.997365,33
Q,0.00132,0.997365,126
R,0.00132,0.997365,26
H,0.00133,0.997350,53
M,0.00133,0.997350,24
Q,0.00133,0.997350,82
R,0.00133,0.997350,38
H,0.00134,0.997326,70
M,0.00134,0.997326,29
Q,0.00134,0.997326,146
R,0.00134,0.997326,34
H,0.00135,0.997307,59
M,0.00135,0.997307,25
Q,0.00135,0.997307,102
R,0.00135,0.997307,45
H,0.00136,0.997288,62
M,0.00136,0.997288,33
Q,0.00136,0.997288,145
R,0.00136,0.997288,39
H,0.00137,0.997267,63
M,0.00137,0.997267,39
Q,0.00137,0.997267,65
R,0.00137,0.997267,31
H,0.00138,0.997251,53
M,0.00138,0.997251,41
Q,0.00138,0.997251,112
R,0.00138,0.997251,31
H,0.00139,0.997230,67
M,0.00139,0.997230,28
Q,0.00139,0.997230,123
R,0.00139,0.997230,31
H,0.00140,0.997207,63
M,0.00140,0.997207,29
Q,0.00140,0.997207,103
R,0.00140,0.997207,59
H,0.00141,0.997188,63
M,0.00141,0.997188,26
Q,0.00141,0.997188,94
R,0.00141,0.997188,51
H,0.00142,0.997170,55
M,0.00142,0.997170,31
Q,0.00142,0.997170,82
R,0.00142,0.997170,34
H,0.00143,0.997150,61
M,0.00143,0.997150,27
Q,0.00143,0.997150,130
R,0.00143,0.997150,30
H,0.00144,0.997133,56
M,0.00144,0.997133,25
Q,0.00144,0.997133,128
R,0.00144,0.997133,36
H,0.00145,0.997108,63
M,0.00145,0.997108,30
Q,0.00145,0.997108,76
R,0.00145,0.997108,57
H,0.00146,0.997093,71
M,0.00146,0.997093,39
Q,0.00146,0.997093,93
R,0.00146,0.997093,29
H,0.00147,0.997072,51
M,0.00147,0.997072,32
Q,0.00147,0.997072,119
R,0.00147,0.997072,38
H,0.00148,0.997051,62
M,0.00148,0.997051,30
Q,0.00148,0.997051,140
R,0.00148,0.997051,30
H,0.00149,0.997025,142
M,0.00149,0.997025,42
Q,0.00149,0.997025,112
R,0.00149,0.997025,31
H,0.00150,0.997012,58
M,0.00150,0.997012,33
Q,0.00150,0.997012,189
R,0.00150,0.997012,40
H,0.00151,0.996984,61
M,0.00151,0.996984,23
Q,0.00151,0.996984,77
R,0.00151,0.996984,30
H,0.00152,0.996970,66
M,0.00152,0.996970,34
Q,0.00152,0.996970,92
R,0.00152,0.996970,34
H,0.00153,0.996954,65
M,0.00153,0.996954,24
Q,0.00153,0.996954,75
R,0.00153,0.996954,33
H,0.00154,0.996933,67
M,0.00154,0.996933,23
Q,0.00154,0.996933,102
R,0.00154,0.996933,33
H,0.00155,0.996913,56
M,0.00155,0.996913,24
Q,0.00155,0.996913,83
R,0.00155,0.996913,43
H,0.00156,0.996892,65
M,0.00156,0.996892,30
Q,0.00156,0.996892,63
R,0.00156,0.996892,32
H,0.00157,0.996866,64
M,0.00157,0.996866,36
Q,0.00157,0.996866,115
R,0.00157,0.996866,29
H,0.00158,0.996850,58
M,0.00158,0.996850,28
Q,0.00158,0.996850,135
R,0.00158,0.996850,34
H,0.00159,0.996831,65
M,0.00159,0.996831,30
